nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,16,2020-05-08,707,466,9,0,7,7,1,A,100.0,A,100.0,A,0,0,0.0,0.0
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v1.0,2017-12-07
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.0,2017-12-11
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.1,2017-12-13
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.2,2017-12-19
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.3,2017-12-19
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.5,2018-02-22
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.6,2018-03-14
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.7,2018-03-25
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.8,2018-04-03
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.9,2018-04-18
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.10,2018-05-02
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.11,2018-06-19
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.12,2018-06-29
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.13,2018-10-04
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.14,2020-01-17
egorsmkv/simple-django-login-and-register,https://github.com/egorsmkv/simple-django-login-and-register.git,v2.15,2020-03-11
