nameWithOwner,url,tagName,publishedAt,totalLoc,totalSloc,validFiles,invalidFiles,filesNotRead,filesNoMetric,cc,ccRank,miMultiFalse,miMultiFalseRank,miMultiTrue,miMultiTrueRank,difficulty,effort,timeHas,bugs,totalFiles,stars
webpy/webpy,https://github.com/webpy/webpy.git,3,2008-09-29,6140,3744,26,0,2,3,0,X,50.47859193362781,A,62.24310967379979,A,3.2916666666666665,693.7376238310347,38.540979101724155,0.09476710933828333,31,5407
webpy/webpy,https://github.com/webpy/webpy.git,0.40,2019-09-27,6134,3781,26,0,2,3,0,X,49.38946438618136,A,61.86799378821233,A,2.9907407407407405,587.4419419308216,32.6356634406012,0.08985885246814654,31
webpy/webpy,https://github.com/webpy/webpy.git,0.50,2020-03-21,6247,3843,26,0,2,3,0,X,49.02039510845327,A,61.86799378821233,A,2.9907407407407405,587.4419419308216,32.6356634406012,0.08985885246814654,31
webpy/webpy,https://github.com/webpy/webpy.git,0.51,2020-03-25,6247,3843,26,0,2,3,0,X,49.02039510845327,A,61.86799378821233,A,2.9907407407407405,587.4419419308216,32.6356634406012,0.08985885246814654,31
